rank,partikelverb,basverb,partikel,betydelse_en,cefr,band,betonad_or_klass,flag
80,bryta upp,bryta,upp,to break open; to depart,B2,3,ja,
81,säga till,säga,till,"to let know, to notify; to speak up",B1,3,ja,
82,hoppa över,hoppa,över,to skip; to jump over,B2,3,ja,
83,bjuda in,bjuda,in,to invite,B1,3,ja,
84,åka fast,åka,fast,to get caught,B1,3,ja,
85,göra slut,göra,slut,to break up (a relationship); to use up,A2,3,ja,
86,peka ut,peka,ut,to point out,B1,3,ja,
87,reda ut,reda,ut,"to sort out, to clear up",B2,3,ja,
88,hänga med,hänga,med,"to keep up, to follow; to come along",B1,3,ja,
89,lägga upp,lägga,upp,"to plan, to lay out; to upload",A2,3,ja,
90,räkna ut,räkna,ut,"to calculate, to work out",B1,3,ja,
91,komma igång,komma,igång,"to get going, to get started",B1,3,ja,
92,bli kvar,bli,kvar,"to stay behind, to remain",B2,4,ja,
93,gå till,gå,till,"to happen, to be done (*hur går det till?*)",B1,4,ja ⚠,
94,stå ut,stå,ut,"to endure, to put up with",B1,4,ja,
95,tråka ut,tråka,ut,to bore (someone),A2,4,ja,
96,lyfta fram,lyfta,fram,"to highlight, to bring forward",B2,4,ja,
97,hänga ihop,hänga,ihop,"to be connected, to hold together",B2,4,ja,
98,passa ihop,passa,ihop,"to match, to go well together",B1,4,ja,
99,föda upp,föda,upp,"to breed, to rear (animals)",B1,4,ja,
100,sätta ihop,sätta,ihop,"to put together, to assemble",B1,4,ja,
101,ta ner,ta,ner,to take down,B1,4,ja,
102,ropa upp,ropa,upp,"to call out a name, to page",B2,4,ja,
103,falla ner,falla,ner,to fall down,B2,4,ja,
104,hålla med,hålla,med,"to agree, to concur",A2,4,ja,
105,se fram,se,fram,to look forward (always *se fram emot*),B2,4,ja,
106,vända om,vända,om,to turn back the way one came,B1,4,ja,
107,dela upp,dela,upp,"to divide up, to split",B1,4,ja,
108,reta upp,reta,upp,to annoy; *reta upp sig* to get worked up,B2,4,ja,
109,gå miste,gå,miste,to miss out (always *gå miste om*),B1,4,ja,
110,spela upp,spela,upp,to play back,B2,4,ja,
111,andas in,andas,in,"to breathe in, to inhale",A2,4,ja,
112,lägga till,lägga,till,to add,B2,4,ja,
113,sitta fast,sitta,fast,to be stuck,B2,4,ja,
114,köra på,köra,på,"to hit, to run into; to keep going",B2,4,ja ⚠,
115,komma till,komma,till,"to be added, to be gained",B1,4,ja ⚠,
116,hitta på,hitta,på,"to make up, to invent; to find something to do",B2,4,ja ⚠,
117,sätta samman,sätta,samman,"to put together, to compose",B1,4,ja,
118,blanda ihop,blanda,ihop,"to mix up, to confuse two things",B1,4,ja,
119,sätta fast,sätta,fast,to fasten; to catch (a culprit),B1,4,ja,
120,skicka ut,skicka,ut,to send out,B2,4,ja,
121,passa in,passa,in,to fit in,B1,4,ja,
122,fara ut,fara,ut,to rush out; *fara ut mot* to lash out at,B1,4,ja,
123,titta in,titta,in,"to drop in, to look in on someone",A2,4,ja,
124,blanda in,blanda,in,"to involve, to drag someone in",B1,4,ja,
125,gå med,gå,med,to join; *gå med på* to agree to,B1,4,ja,
126,lägga ut,lägga,ut,to post online; to lay out; to pay on someone's behalf,B1,4,ja,
127,göra åt,göra,åt,to do about (a problem),B2,4,ja,
128,hyra ut,hyra,ut,"to rent out, to let",A2,4,ja,
129,kolla upp,kolla,upp,"to check up on, to look into",A2,4,ja,
130,flytta ut,flytta,ut,to move out,A2,4,ja,
131,stoppa ner,stoppa,ner,"to put down into, to tuck into",B1,4,ja,
132,välja ut,välja,ut,"to select, to pick out",B1,4,ja,
133,börja om,börja,om,to start over from the beginning,B1,4,ja,
134,vara till,vara,till,"to be of use, to serve a purpose",A2,4,ja ⚠,
135,spara ihop,spara,ihop,to save up,B1,4,ja,
136,riva sönder,riva,sönder,"to tear apart, to rip up",B1,4,ja,
137,hålla undan,hålla,undan,"to keep away, to hold off",B2,4,ja,
138,föra fram,föra,fram,"to put forward, to present (an idea)",B2,4,ja,
139,hålla upp,hålla,upp,to hold up; to stop,B2,4,ja,
140,resa bort,resa,bort,"to go away, to travel away",B2,4,ja,
141,skjuta upp,skjuta,upp,to postpone,B1,4,ja,
142,lägga av,lägga,av,"to quit, to pack it in; *lägg av!* knock it off",A2,4,ja,
143,andas ut,andas,ut,to breathe out; to breathe easy,A2,4,ja,
144,flytta bort,flytta,bort,to move away,B2,4,ja,
145,ta till,ta,till,to resort to,B2,4,ja ⚠,
146,ringa upp,ringa,upp,"to call up, to ring",B1,4,ja,
147,bygga ut,bygga,ut,"to extend, to enlarge",B2,4,ja,
148,gå an,gå,an,to be acceptable (*det går an*),B2,4,ja,
149,gå igen,gå,igen,to recur; to haunt,A2,4,ja,
150,trycka ner,trycka,ner,to push down; to belittle,B2,4,ja,
151,läsa på,läsa,på,"to study up, to swot",B1,4,ja ⚠,
152,ställa ut,ställa,ut,to exhibit; to issue (a document),B1,4,ja,
153,slösa bort,slösa,bort,"to waste, to squander",B1,4,ja,
154,ta av,ta,av,to take off (clothes); to turn off (a road),A2,4,ja,
155,träna upp,träna,upp,"to build up, to train up (a skill)",B1,4,ja,
156,plocka ihop,plocka,ihop,"to gather up, to pack together",B1,4,ja,
157,dricka ur,dricka,ur,"to drink up, to empty a glass",C1,4,ja,
158,rycka in,rycka,in,"to step in, to fill in",A2,4,ja,
159,blåsa upp,blåsa,upp,to inflate; to blow up (a storm),B2,4,ja,
160,hålla kvar,hålla,kvar,"to keep, to detain",B2,4,ja,
161,jaga upp,jaga,upp,"to work up, to agitate",B2,4,ja,
162,kasta bort,kasta,bort,to throw away,B2,4,ja,
163,slå ihjäl,slå,ihjäl,"to kill, to beat to death",B2,4,ja,
164,slå in,slå,in,to wrap up (a parcel); to come true,B2,4,ja,
165,slå sönder,slå,sönder,"to smash, to break",B2,4,ja,
166,söka upp,söka,upp,"to seek out, to go and find",B2,4,ja,
167,packa in,packa,in,"to pack, to wrap up",A1,5,ja,
168,skjuta in,skjuta,in,to insert; to interject,B2,5,ja,
169,ta itu,ta,itu,to tackle (always *ta itu med*),B1,5,ja,
170,hinna med,hinna,med,"to have time for, to make it to",B1,5,ja,
171,klara av,klara,av,"to manage, to get done",B1,5,ja,
172,samla ihop,samla,ihop,"to gather up, to collect",B1,5,ja,
173,skynda på,skynda,på,to hurry up,B1,5,ja ⚠,
174,höra hemma,höra,hemma,to belong (in a place),C1,5,ja,
175,rusa ut,rusa,ut,to rush out,B1,5,ja,
176,bryta ut,bryta,ut,"to break out (war, fire); to extract",B1,5,ja,
177,gräva ner,gräva,ner,to bury,B2,5,ja,
178,sitta ner,sitta,ner,to sit down,B2,5,ja,
179,bygga om,bygga,om,"to rebuild, to convert",B2,5,ja,
180,gömma undan,gömma,undan,to hide away,B2,5,ja,
181,hugga in,hugga,in,to tuck in (to food); to pitch in,B2,5,ja,
182,skrämma bort,skrämma,bort,to scare away,B2,5,ja,
183,komma undan,komma,undan,"to get away, to escape",B2,5,ja,
184,låsa in,låsa,in,"to lock in, to lock up",B2,5,ja,
185,ställa till,ställa,till,to cause (trouble) — *ställa till med*,B2,5,ja,
186,skicka in,skicka,in,"to send in, to submit",B1,5,ja,
187,klättra upp,klättra,upp,to climb up,B1,5,ja,
188,kasta tillbaka,kasta,tillbaka,to throw back,C1,5,ja,
189,plocka undan,plocka,undan,to clear away,B1,5,ja,
190,falla in,falla,in,to chime in; *det faller mig in* it occurs to me,B1,5,ja,
191,koppla ihop,koppla,ihop,to connect together,B1,5,ja,
192,krypa upp,krypa,upp,"to crawl up, to curl up",B1,5,ja,
193,strömma in,strömma,in,"to stream in, to pour in",B1,5,ja,
194,köra slut,köra,slut,to wear out (*köra slut på*),B2,5,ja,
195,ta fast,ta,fast,"to catch, to apprehend",B2,5,ja,
196,vila ut,vila,ut,to rest up,B2,5,ja,
197,slappna av,slappna,av,"to relax, to unwind",B1,5,ja,
198,kasta in,kasta,in,to throw in,C1,5,ja,
199,hålla till,hålla,till,"to hang out, to be based somewhere",B2,5,ja,
200,hålla tillbaka,hålla,tillbaka,"to hold back, to restrain",B2,5,ja,
201,dra upp,dra,upp,to pull up; to bring up (a topic),B1,5,ja,
202,byta ut,byta,ut,"to replace, to swap out",B1,5,ja,
203,räkna bort,räkna,bort,"to discount, to leave out of a total",B1,5,ja,
204,plocka upp,plocka,upp,to pick up,A2,5,ja,
205,stoppa in,stoppa,in,"to put in, to stuff in",A2,5,ja,
206,läsa in,läsa,in,to study up on; to import (data),A2,5,ja,
207,bli över,bli,över,to be left over,A2,5,ja,
208,säga upp,säga,upp,to give notice; to dismiss; to cancel a contract,B1,5,ja,
209,falla ihop,falla,ihop,to collapse,B2,5,ja,
210,slå ner,slå,ner,to knock down; to strike (of lightning),B2,5,ja,
211,stå upp,stå,upp,to stand up,B1,5,ja,
212,gå bort,gå,bort,to pass away; to go out to dinner,B2,5,ja,
213,klä ut,klä,ut,to dress up in costume (*klä ut sig*),B2,5,ja,
214,vika ihop,vika,ihop,to fold up,B1,5,ja,
215,släppa in,släppa,in,to let in,B1,5,ja,
216,springa ut,springa,ut,to run out,A2,5,ja,
217,se ner,se,ner,to look down (*se ner på* to look down on),B2,5,ja,
218,bädda in,bädda,in,to tuck in (in bed),B1,5,ja,
219,springa fram,springa,fram,"to run forward, to run up",A2,5,ja,
220,vara ihop,vara,ihop,to be together (a couple),A2,5,ja,
221,fälla upp,fälla,upp,"to put up, to unfold (an umbrella)",C1,5,ja,
222,ge bort,ge,bort,to give away,C1,5,ja,
223,höra till,höra,till,"to belong to, to be part of",C1,5,ja ⚠,
224,köra om,köra,om,to overtake,C1,5,ja,
225,lära ut,lära,ut,to teach (a subject to someone),C1,5,ja,
226,piffa upp,piffa,upp,to spruce up,C1,5,ja,
227,sticka upp,sticka,upp,"to stick up, to protrude",C1,5,ja,
228,suga upp,suga,upp,"to soak up, to absorb",C1,5,ja,
229,ta efter,ta,efter,"to imitate, to copy someone",C1,5,ja,
230,få ihop,få,ihop,"to get together, to scrape together",A2,5,ja,
231,ge tillbaka,ge,tillbaka,to give back,B2,5,ja,
232,hänga samman,hänga,samman,to be connected (formal),B2,5,ja,
233,hålla fast,hålla,fast,to hold firm (*hålla fast vid*),B2,5,ja,
234,komma bort,komma,bort,"to get lost, to go missing",B2,5,ja,
235,laga till,laga,till,to prepare (food),B2,5,ja,
236,plocka fram,plocka,fram,"to bring out, to get out",B2,5,ja,
237,skjuta ut,skjuta,ut,to push out; to project,B2,5,ja,
238,stryka över,stryka,över,to cross out,B2,5,ja,
239,kasta ut,kasta,ut,to throw out,A2,5,ja,
240,byta om,byta,om,to change clothes,A1,5,ja,
241,hälsa på,hälsa,på,"to visit, to call on someone",A1,5,ja ⚠,
242,stå till,stå,till,"to be, to stand (*hur står det till?*)",A1,5,ja,
243,hugga ner,hugga,ner,to cut down (a tree),B2,5,ja,
244,följa med,följa,med,"to come along, to accompany",A1,6,ja,
245,ha på sig,ha,på,to wear (clothes),A1,6,ja ⚠,
246,ta på sig,ta,på,to put on (clothes); to take on (a task),A2,6,ja ⚠,
247,ta av sig,ta,av,to take off (clothes),A2,6,ja,
248,stänga av,stänga,av,"to turn off, to switch off",A2,6,ja,
249,sätta på,sätta,på,"to turn on, to switch on",A2,6,ja ⚠,
250,slå på,slå,på,"to turn on, to switch on",A2,6,ja ⚠,
251,slå av,slå,av,to switch off; to knock off (a price),A2,6,ja,
252,ha med sig,ha,med,"to have with one, to bring",A2,6,ja,
253,klä på sig,klä,på,to get dressed,A2,6,ja,
254,klä av sig,klä,av,to undress,A2,6,ja,
255,sätta sig ner,sätta,ner,to sit down,A2,6,ja,
256,slå sig ner,slå,ner,to sit down; to settle somewhere,B1,6,ja,
257,stiga på,stiga,på,"to come in, to step in (*stig på!*)",A2,6,ja ⚠,
258,passa på,passa,på,to take the opportunity,B1,6,ja ⚠,
259,ta reda på,ta,reda på,to find out,A2,6,ja,
260,få reda på,få,reda på,"to find out, to learn",B1,6,ja,
261,bry sig om,bry,om,to care about,A2,6,ja,
262,höra av sig,höra,av,to get in touch,B1,6,ja,
263,ge sig av,ge,av,"to depart, to set off",B1,6,ja,
264,komma överens,komma,överens,to agree; to get along,B1,6,ja,
265,gå igenom,gå,igenom,"to go through, to review item by item",B1,6,ja,
266,komma på,komma,på,to think of; to realise,B1,6,ja ⚠,
267,fylla i,fylla,i,to fill in (a form),A2,6,ja,
268,fylla på,fylla,på,"to refill, to top up",A2,6,ja ⚠,
269,lägga på,lägga,på,to hang up (the phone); to put on top,A2,6,ja ⚠,
270,flytta in,flytta,in,to move in,A2,6,ja,
271,gå av,gå,av,"to come off, to break; to get off (a vehicle)",A2,6,ja ⚠,
272,skriva under,skriva,under,to sign,B1,6,ja ⚠,
273,skriva på,skriva,på,to sign (a contract),B1,6,ja ⚠,
274,skriva in,skriva,in,"to enter, to register",B1,6,ja,
275,torka av,torka,av,"to wipe off, to wipe down",A2,6,ja,
276,plocka bort,plocka,bort,"to remove, to clear away",A2,6,ja,
277,ställa fram,ställa,fram,"to put out, to set out",A2,6,ja,
278,packa ihop,packa,ihop,to pack up,A2,6,ja,
279,städa upp,städa,upp,"to clean up, to tidy up",A2,6,ja,
280,checka in,checka,in,to check in,A2,6,ja,
281,checka ut,checka,ut,to check out,A2,6,ja,
282,ringa tillbaka,ringa,tillbaka,to call back,A2,6,ja,
283,skicka tillbaka,skicka,tillbaka,to send back,A2,6,ja,
284,komma ner,komma,ner,to come down,A2,6,ja,
285,gå iväg,gå,iväg,"to leave, to head off",A2,6,ja,
286,åka bort,åka,bort,"to go away, to be away",A2,6,ja,
287,hoppa upp,hoppa,upp,to jump up,A2,6,ja,
288,vara tillbaka,vara,tillbaka,to be back,A2,6,ja,
289,tänka igenom,tänka,igenom,to think through,B1,6,ja,
290,tänka över,tänka,över,"to think over, to consider",B1,6,ja ⚠,
291,läsa igenom,läsa,igenom,to read through,B1,6,ja,
292,se över,se,över,"to review, to look over",B2,6,ja ⚠,
293,se sig om,se,om,to look around,B1,6,ja,
294,se tillbaka,se,tillbaka,to look back,B2,6,ja,
295,titta ut,titta,ut,to look out,B1,6,ja,
296,titta upp,titta,upp,to look up,B1,6,ja,
297,titta fram,titta,fram,"to peek out, to appear",B1,6,ja,
298,titta förbi,titta,förbi,to drop by,B1,6,ja,
299,komma förbi,komma,förbi,"to come by, to drop by",B1,6,ja,
300,kolla in,kolla,in,"to check out, to have a look at",B1,6,ja,
301,hålla i,hålla,i,to hold on to; to host (an event),B1,6,ja ⚠,
302,hålla ut,hålla,ut,"to hold out, to persevere",B1,6,ja,
303,hålla igång,hålla,igång,"to keep going, to keep running",B1,6,ja,
304,hålla om,hålla,om,"to hold, to hug",B1,6,ja ⚠,
305,hålla av,hålla,av,to be fond of,B2,6,ja,
306,hålla inne,hålla,inne,"to hold back, to withhold",B2,6,ja,
307,slå till,slå,till,to strike; to take the offer,B1,6,ja,
308,stå på sig,stå,på,to stand one's ground,B1,6,ja ⚠,
309,sitta kvar,sitta,kvar,to stay seated; to be held back a year,B1,6,ja,
310,stanna till,stanna,till,"to stop by, to pause",B1,6,ja,
311,stanna upp,stanna,upp,to come to a halt,B2,6,ja,
312,lägga sig i,lägga,i,"to interfere, to meddle",B1,6,ja ⚠,
313,lägga på sig,lägga,på,to put on weight,B1,6,ja ⚠,
314,lägga ihop,lägga,ihop,to add up,B1,6,ja,
315,räkna ihop,räkna,ihop,"to add up, to total",B1,6,ja,
316,räkna in,räkna,in,"to count in, to include",B2,6,ja,
317,räkna med,räkna,med,"to count on, to expect",B1,6,ja ⚠,
318,dra igång,dra,igång,"to kick off, to get going",B1,6,ja,
319,dra på sig,dra,på,"to incur, to bring on oneself",B2,6,ja ⚠,
320,dra åt,dra,åt,to tighten,B2,6,ja,
321,dra ifrån,dra,ifrån,to subtract; to draw (curtains),B1,6,ja,
322,dra sig undan,dra,undan,"to withdraw, to keep to oneself",B2,6,ja,
323,dela in,dela,in,to divide into (groups),B1,6,ja,
324,samla in,samla,in,"to collect, to gather",B1,6,ja,
325,plocka in,plocka,in,"to bring in, to pick up",B1,6,ja,
326,plocka ut,plocka,ut,"to pick out, to select",B1,6,ja,
327,lämna ut,lämna,ut,to hand out; to disclose,B1,6,ja,
328,hämta ut,hämta,ut,"to collect, to pick up (a parcel)",B1,6,ja,
329,hämta in,hämta,in,to fetch in; to catch up (a deficit),B2,6,ja,
330,betala tillbaka,betala,tillbaka,to pay back,B1,6,ja,
331,betala av,betala,av,to pay off,B1,6,ja,
332,betala in,betala,in,"to pay in, to deposit",B1,6,ja,
333,köpa in,köpa,in,"to buy in, to purchase",B1,6,ja,
334,sälja ut,sälja,ut,"to sell off, to sell out",B1,6,ja,
335,bygga upp,bygga,upp,"to build up, to establish",B1,6,ja,
336,bygga in,bygga,in,"to build in, to integrate",B2,6,ja,
337,stänga in,stänga,in,"to shut in, to confine",B2,6,ja,
338,stänga ut,stänga,ut,"to shut out, to exclude",B2,6,ja,
339,öppna upp,öppna,upp,to open up,B2,6,ja,
340,riva ner,riva,ner,"to tear down, to demolish",B1,6,ja,
341,riva upp,riva,upp,to tear up; to reopen (an issue),B2,6,ja,
342,bryta in,bryta,in,"to cut in, to interrupt",B2,6,ja,
343,bryta sig in,bryta,in,to break in (burglary),B2,6,ja,
344,byta in,byta,in,to trade in,B1,6,ja,
345,byta upp sig,byta,upp,to trade up,B2,6,ja,
346,få fram,få,fram,to get across; to produce,B1,6,ja,
347,få tillbaka,få,tillbaka,to get back,A2,6,ja,
348,få ut,få,ut,"to get out of, to gain from",B1,6,ja,
349,få in,få,in,"to get in, to receive",B1,6,ja,
350,få med,få,med,to bring along; to include,B1,6,ja,
351,få bort,få,bort,"to get rid of, to remove",B1,6,ja,
352,få igång,få,igång,"to get going, to start up",B1,6,ja,
353,få upp,få,upp,to get open; to get up,B1,6,ja,
354,få för sig,få,för,to take it into one's head,B2,6,ja,
355,ge sig ut,ge,ut,"to set out, to venture out",B1,6,ja,
356,ge sig på,ge,på,"to attack, to go after",B2,6,ja,
357,ge sig iväg,ge,iväg,"to set off, to head off",B1,6,ja,
358,ge sig in i,ge,in,to get involved in,B2,6,ja,
359,göra av med,göra,av,to spend; to get rid of,B2,6,ja,
360,göra bort sig,göra,bort,to embarrass oneself,B2,6,ja,
361,göra sig till,göra,till,"to put on airs, to show off",B2,6,ja,
362,säga åt,säga,åt,to tell someone to; to tell off,B1,6,ja,
363,säga upp sig,säga,upp,"to resign, to quit a job",B1,6,ja,
364,känna av,känna,av,to feel the effects of,B2,6,ja,
365,känna på sig,känna,på,"to have a feeling, to sense",B2,6,ja ⚠,
366,höra ihop,höra,ihop,to belong together,B1,6,ja,
367,gå med på,gå,med,"to agree to, to consent to",B1,6,ja,
368,gå omkring,gå,omkring,to walk around,B1,6,ja,
369,gå runt,gå,runt,to go around; to break even,B1,6,ja,
370,gå om,gå,om,to overtake; to repeat (a school year),B1,6,ja,
371,gå isär,gå,isär,to come apart; to split up,B2,6,ja,
372,gå ur,gå,ur,to come out (of a stain); to withdraw from,B2,6,ja,
373,gå fram,gå,fram,"to advance, to go forward",B1,6,ja,
374,gå före,gå,före,to go first; to take priority,B1,6,ja,
375,gå in för,gå,in,"to commit to, to throw oneself into",B2,6,ja,
376,komma med,komma,med,to come along; to come up with,B1,6,ja,
377,komma av sig,komma,av,to lose one's thread,B2,6,ja,
378,ta i,ta,i,to exert oneself; to touch,B1,6,ja ⚠,
379,ta på,ta,på,to touch,B1,6,ja ⚠,
380,ta sig an,ta,an,"to take on, to take charge of",B2,6,ja,
381,ta till sig,ta,till,"to take in, to absorb",B2,6,ja,
382,ta åt sig,ta,åt,to take it personally,B2,6,ja,
383,ta ut sig,ta,ut,to wear oneself out,B2,6,ja,
384,köra över,köra,över,to run over; to steamroll (a person),B1,6,ja ⚠,
385,köra upp,köra,upp,to take the driving test,B1,6,ja,
386,köra ut,köra,ut,to drive out; to deliver,B1,6,ja,
387,slänga ut,slänga,ut,to throw out,B1,6,ja,
388,hoppa in,hoppa,in,"to fill in, to step in for someone",B1,6,ja,
389,koka upp,koka,upp,to bring to the boil,B1,6,ja,
390,skära upp,skära,upp,"to cut up, to slice",B1,6,ja,
391,hälla ut,hälla,ut,to pour out,B1,6,ja,
392,hälla i,hälla,i,to pour in,B1,6,ja,
393,frysa in,frysa,in,to freeze (food),B1,6,ja,
394,ladda ner,ladda,ner,to download,C1,7,ja,
395,ladda upp,ladda,upp,to upload; to charge (a battery),C1,7,ja,
396,logga in,logga,in,to log in,C1,7,ja,
397,logga ut,logga,ut,to log out,B1,7,ja,
398,komma åt,komma,åt,"to reach, to get at",C1,7,ja,
399,komma över,komma,över,to get over; to come across,C1,7,ja,
400,hoppa av,hoppa,av,to drop out; to jump off,C1,7,ja,
401,hålla ihop,hålla,ihop,to stick together,C1,7,ja,
402,hålla uppe,hålla,uppe,"to keep up, to sustain",B2,7,ja,
403,hålla igen,hålla,igen,"to hold back, to restrain oneself",B1,7,ja,
404,hålla samman,hålla,samman,to hold together (formal),B2,7,ja,
405,slå fast,slå,fast,"to establish, to state firmly",C1,7,ja,
406,slå samman,slå,samman,"to merge, to amalgamate",C1,7,ja,
407,slå ihop,slå,ihop,to merge; to fold up,B2,7,ja,
408,ställa om,ställa,om,"to readjust, to switch over",C1,7,ja,
409,stöta ihop,stöta,ihop,to bump into (someone),C1,7,ja,
410,sudda ut,sudda,ut,"to erase, to rub out",C1,7,ja,
411,ta miste,ta,miste,to be mistaken,C1,7,ja,
412,ta tillbaka,ta,tillbaka,"to take back, to retract",B1,7,ja,
413,tänka ut,tänka,ut,"to think up, to devise",C1,7,ja,
414,fundera ut,fundera,ut,"to figure out, to work out",C1,7,ja,
415,vakna upp,vakna,upp,to wake up,C1,7,ja,
416,flytta fram,flytta,fram,to move forward; to push to a later time,C1,7,ja,
417,hänga ut,hänga,ut,to hang out (washing); to expose publicly,C1,7,ja,
418,köra bort,köra,bort,"to drive away, to chase off",C1,7,ja,
419,köra fast,köra,fast,"to get stuck, to reach an impasse",C1,7,ja,
420,köpa upp,köpa,upp,to buy up,C1,7,ja,
421,lära upp,lära,upp,to train (a person),C1,7,ja,
422,lära om,lära,om,"to relearn, to learn afresh",A2,7,ja,
423,leta upp,leta,upp,"to look up, to track down",B2,7,ja,
424,leta fram,leta,fram,"to dig out, to find by searching",B2,7,ja,
425,räkna upp,räkna,upp,"to list, to enumerate",C1,7,ja,
426,skaffa fram,skaffa,fram,"to obtain, to procure",C1,7,ja,
427,skaka av,skaka,av,to shake off,C1,7,ja,
