cefr levels,grammar,infinitive,imperativ,presens,preteritum,supinum,note
A1,att,lämna,,lämnar,lämnade,lämnat,
A1,att,bygga,,bygger,byggde,byggt,
A1,att,kalla,,kallar,kallade,kallat,
A1,att,leva,,lever,levde,levt,
A1,att,ställa,,ställer,ställde,ställt,
A1,att,följa,,följer,följde,följt,
A1,att,ske,,sker,skedde,skett,
A1,att,kräva,,kräver,krävde,krävt,
A1,att,ena,,enar,enade,enat,
A1,att,svara,,svarar,svarade,svarat,
A1,att,fortsätta,,fortsätter,fortsatte,fortsatt,
A1,att,bruka,,brukar,brukade,brukat,
A1,att,mena,,menar,menade,menat,
A1,att,slå,,slår,slog,slagit,
A1,att,hända,,händer,hände,hänt,
A1,att,arbeta,,arbetar,arbetade,arbetat,
A1,att,fungera,,fungerar,fungerade,fungerat,funka är en vardaglig variant av fungera (accepteras ej som svar).
A1,att,beta,,betar,betade,betat,
A1,att,köpa,,köper,köpte,köpt,
A1,att,sitta,,sitter,satt,suttit,
A1,att,åta sig,,åtar sig,åtog sig,åtagit sig,
A1,att,berätta,,berättar,berättade,berättat,
A1,att,rätta,,rättar,rättade,rättat,
A1,att,sluta,,slutar,slutade,slutat,
A1,att,åka,,åker,åkte,åkt,
A1,att,betala,,betalar,betalade,betalat/betalt,C5: fri variant (betalat/betalt; stilnivå).
A1,att,utveckla,,utvecklar,utvecklade,utvecklat,
A1,att,föra,,för,förde,fört,
A1,att,hjälpa,,hjälper,hjälpte,hjälpt,
A1,att,vinna,,vinner,vann,vunnit,
A1,att,vänta,,väntar,väntade,väntat,
A1,att,jobba,,jobbar,jobbade,jobbat,
A1,att,klara,,klarar,klarade,klarat,
A1,att,prata,,pratar,pratade,pratat,
A1,att,fråga,,frågar,frågade,frågat,
A1,att,anmäla,,anmäler,anmälde,anmält,
A1,att,nå,,når,nådde,nått,
A1,att,bo,,bor,bodde,bott,
A1,att,stämma,,stämmer,stämde,stämt,
A1,att,dela,,delar,delade,delat,
A1,att,köra,,kör,körde,kört,
A1,att,hoppas,,hoppas,hoppades,hoppats,
A1,att,förklara,,förklarar,förklarade,förklarat,
A1,att,tvinga,,tvingar,tvingade,tvingat,C5: tvang/tvungit ej verifierade som aktuell standardsvenska; NEEDS HUMAN CHECK; borttagna ur alternativcellen.
A1,att,påverka,,påverkar,påverkade,påverkat,
A1,att,titta,,tittar,tittade,tittat,
A1,att,minska,,minskar,minskade,minskat,
A1,att,bestämma,,bestämmer,bestämde,bestämt,
A1,att,skicka,,skickar,skickade,skickat,
A1,att,ändra,,ändrar,ändrade,ändrat,
A1,att,träffa,,träffar,träffade,träffat,
A1,att,diskutera,,diskuterar,diskuterade,diskuterat,
A1,att,driva,,driver,drev,drivit,
A1,att,sälja,,säljer,sålde,sålt,
A1,att,sakna,,saknar,saknade,saknat,
A1,att,länka,,länkar,länkade,länkat,
A1,att,tyda,,tyder,tydde,tytt,
A1,att,genomföra,,genomför,genomförde,genomfört,
A1,att,räkna,,räknar,räknade,räknat,
A1,att,beskriva,,beskriver,beskrev,beskrivit,
A1,att,möta,,möter,mötte,mött,
A1,att,heta,,heter,hette,hetat,
A1,att,äta,,äter,åt,atit,
A1,att,flytta,,flyttar,flyttade,flyttat,
A1,att,utgöra,,utgör,utgjorde,utgjort,
A1,att,röra,,rör,rörde,rört,
A1,att,dö,,dör,dog,dött,
A1,att,växa,,växer,växte,vuxit/växt,C5: fri variant (vuxit/växt); vuxit vald som primärform (organisk betydelse; A1).
A1,att,våga,,vågar,vågade,vågat,
A1,att,fatta,,fattar,fattade,fattat,
A1,att,nämna,,nämner,nämnde,nämnt,
A1,att,be,,ber,bad,bett,bedja är en ålderdomlig variant av be (accepteras ej som svar).
A1,att,anta,,antar,antog,antagit,
A1,att,föreslå,,föreslår,föreslog,föreslagit,
A1,att,undra,,undrar,undrade,undrat,
A1,att,lyssna,,lyssnar,lyssnade,lyssnat,
A1,att,delta,,deltar,deltog,deltagit,
A1,att,falla,,faller,föll,fallit,
A1,att,starta,,startar,startade,startat,
A1,att,inse,,inser,insåg,insett,
A1,att,bidra,,bidrar,bidrog,bidragit,
A1,att,luta,,lutar,lutade,lutat,
A1,att,bero,,beror,berodde,berott,
A1,att,minnas,,minns,mindes,mints,
A1,att,rösta,,röstar,röstade,röstat,
A1,att,kommentera,,kommenterar,kommenterade,kommenterat,
A1,att,gilla,,gillar,gillade,gillat,
A1,att,bryta,,bryter,bröt,brutit,
A1,att,innehålla,,innehåller,innehöll,innehållit,
A1,att,bjuda,,bjuder,bjöd,bjudit,
A1,att,hävda,,hävdar,hävdade,hävdat,
A1,att,hamna,,hamnar,hamnade,hamnat,
A1,att,hinna,,hinner,hann,hunnit,
A1,att,må,,mår,mådde,mått,
A1,att,släppa,,släpper,släppte,släppt,
A1,att,passa,,passar,passade,passat,
A1,att,öppna,,öppnar,öppnade,öppnat,
A1,att,införa,,inför,införde,infört,
A1,att,erbjuda,,erbjuder,erbjöd,erbjudit,
A1,att,ingå,,ingår,ingick,ingått,
A1,att,bestå,,består,bestod,bestått,
A1,att,konstatera,,konstaterar,konstaterade,konstaterat,
A1,att,styra,,styr,styrde,styrt,
A1,att,förlora,,förlorar,förlorade,förlorat,
A1,att,påstå,,påstår,påstod,påstått,
A1,att,besluta,,besluter,beslöt,beslutit,
A1,att,avse,,avser,avsåg,avsett,
A1,att,stödja,,stöder,stödde,stött,
A1,att,glömma,,glömmer,glömde,glömt,
A1,att,förändra,,förändrar,förändrade,förändrat,
A1,att,ange,,anger,angav,angett,
A1,att,älska,,älskar,älskade,älskat,
A1,att,presentera,,presenterar,presenterade,presenterat,
A1,att,stanna,,stannar,stannade,stannat,
A1,att,byta,,byter,bytte,bytt,
A1,att,uppleva,,upplever,upplevde,upplevt,
A1,att,samla,,samlar,samlade,samlat,
A1,att,lösa,,löser,löste,löst,
A1,att,kolla,,kollar,kollade,kollat,
A1,att,fylla,,fyller,fyllde,fyllt,
A1,att,drabba,,drabbar,drabbade,drabbat,
A1,att,fara,,far,for,farit,
A1,att,tjäna,,tjänar,tjänade,tjänat,
A1,att,behandla,,behandlar,behandlade,behandlat,
A1,att,utföra,,utför,utförde,utfört,
A1,att,räcka,,räcker,räckte,räckt,
A1,att,fundera,,funderar,funderade,funderat,
A1,att,uppstå,,uppstår,uppstod,uppstått,
A1,att,acceptera,,accepterar,accepterade,accepterat,
A1,att,bilda,,bildar,bildade,bildat,
A1,att,försvinna,,försvinner,försvann,försvunnit,
A1,att,sprida,,sprider,spred/spridde,spridit/spritt,C5: fri variant (spred/spridde; spridit/spritt).
A1,att,önska,,önskar,önskade,önskat,
A1,att,publicera,,publicerar,publicerade,publicerat,
A1,att,tillhöra,,tillhör,tillhörde,tillhört,
A1,att,omfatta,,omfattar,omfattade,omfattat,
A1,att,befinna,,befinner,befann,befunnit,
A1,att,skilja,,skiljer,skilde,skilt,
A1,att,döda,,dödar,dödade,dödat,
A1,att,peka,,pekar,pekade,pekat,
A1,att,ringa,,ringer,ringde,ringt,
A1,att,betrakta,,betraktar,betraktade,betraktat,
A1,att,hänga,,hänger,hängde,hängt,
A1,att,tillåta,,tillåter,tillät,tillåtit,
A1,att,förekomma,,förekommer,förekom,förekommit,
A1,att,stoppa,,stoppar,stoppade,stoppat,
A1,att,rycka,,rycker,ryckte,ryckt,
A1,att,trycka,,trycker,tryckte,tryckt,
A1,att,kosta,,kostar,kostade,kostat,
A1,att,uttrycka,,uttrycker,uttryckte,uttryckt,
A1,att,resa,,reser,reste,rest,
A1,att,förbättra,,förbättrar,förbättrade,förbättrat,
A1,att,rädda,,räddar,räddade,räddat,
A1,att,agera,,agerar,agerade,agerat,
A1,att,uppnå,,uppnår,uppnådde,uppnått,
A1,att,jämföra,,jämförar,jämförade,jämförat,
A1,att,hantera,,hanterar,hanterade,hanterat,
A1,att,förvänta,,förväntar,förväntade,förväntat,
A1,att,vika,,viker,vek,vikit/vikt,C5: fri variant (vikit/vikt).
A1,att,döma,,dömer,dömde,dömt,
A1,att,besöka,,besöker,besökte,besökt,
A1,att,täcka,,täcker,täckte,täckt,
A1,att,inleda,,inleder,inledde,inlett,
A1,att,undvika,,undviker,undvek,undvikit,
A1,att,höja,,höjer,höjde,höjt,
A1,att,råka,,råkar,råkade,råkat,
A1,att,upptäcka,,upptäcker,upptäckte,upptäckt,
A1,att,erkänna,,erkänner,erkände,erkänt,
A1,att,kasta,,kastar,kastade,kastat,
A1,att,bedöma,,bedömer,bedömde,bedömt,
A1,att,toppa,,toppar,toppade,toppat,
A1,att,skydda,,skyddar,skyddade,skyddat,
A1,att,nyttja,,nyttjar,nyttjade,nyttjat,
A1,att,utnyttja,,utnyttjar,utnyttjade,utnyttjat,
A1,att,pågå,,pågår,pågick,pågått,
A1,att,försvara,,försvarar,försvarade,försvarat,
A1,att,lyfta,,lyfter,lyfte,lyft,
A1,att,märka,,märker,märkte,märkt,
A1,att,ösa,,öser,öste,öst,
A1,att,ersätta,,ersätter,ersatte,ersatt,
A1,att,ägna,,ägnar,ägnade,ägnat,
A1,att,satsa,,satsar,satsade,satsat,
A1,att,rida,,rider,red,ridit,
A1,att,avsluta,,avslutar,avslutade,avslutat,
A1,att,sova,,sover,sov,sovit,
A1,att,föda,,föder,födde,fött,
A1,att,skjuta,,skjuter,sköt,skjutit,
A1,att,hämta,,hämtar,hämtade,hämtat,
A1,att,påpeka,,påpekar,påpekade,påpekat,
A1,att,bättra,,bättrar,bättrade,bättrat,
A1,att,skaffa,,skaffar,skaffade,skaffat,
A1,att,utgå,,utgår,utgick,utgått,
A1,att,stärka,,stärker,stärkte,stärkt,
A1,att,utsätta,,utsätter,utsatte,utsatt,
A1,att,kämpa,,kämpar,kämpade,kämpat,
A1,att,eka,,ekar,ekade,ekat,
A1,att,hoppa,,hoppar,hoppade,hoppat,
A1,att,avgöra,,avgör,avgjorde,avgjort,
A1,att,sända,,sänder,sände,sänt,
A1,att,missa,,missar,missade,missat,
A1,att,bedriva,,bedriver,bedrev,bedrivit,
A1,att,anföra,,anför,anförde,anfört,
A1,att,hindra,,hindrar,hindrade,hindrat,
A1,att,meddela,,meddelar,meddelade,meddelat,
A1,att,tillämpa,,tillämpar,tillämpade,tillämpat,
A1,att,kritisera,,kritiserar,kritiserade,kritiserat,
A1,att,springa,,springer,sprang,sprungit,
A1,att,uppfatta,,uppfattar,uppfattade,uppfattat,
A1,att,stänga,,stänger,stängde,stängt,
A1,att,råda,,råder,rådde,rått,
A1,att,slippa,,slipper,slapp,sluppit,
A1,att,dyka,,dyker,dök,dykit,
A1,att,orka,,orkar,orkade,orkat,
A1,att,kontrollera,,kontrollerar,kontrollerade,kontrollerat,
A1,att,planera,,planerar,planerade,planerat,
A1,att,lova,,lovar,lovade,lovat,
A1,att,citera,,citerar,citerade,citerat,
A1,att,sköta,,sköter,skötte,skött,
A1,att,vägra,,vägrar,vägrade,vägrat,
A1,att,framgå,,framgår,framgick,framgått,
A1,att,studera,,studerar,studerade,studerat,
A1,att,tolka,,tolkar,tolkade,tolkat,
A1,att,behålla,,behåller,behöll,behållit,
A1,att,dricka,,dricker,drack,druckit,
A1,att,bry sig,,bryr sig,brydde sig,brytt sig,
A1,att,notera,,noterar,noterade,noterat,
A1,att,sänka,,sänker,sänkte,sänkt,
A1,att,medföra,,medför,medförde,medfört,
A1,att,ifrågasätta,,ifrågasätter,ifrågasatte,ifrågasatt,
A1,att,stiga,,stiger,steg,stigit,
A1,att,tiga,,tiger,teg,tigit,
A1,att,väcka,,väcker,väckte,väckt,
A1,att,leta,,letar,letade,letat,
A1,att,riskera,,riskerar,riskerade,riskerat,
A1,att,tappa,,tappar,tappade,tappat,
A1,att,spara,,sparar,sparade,sparat,
A1,att,klicka,,klickar,klickade,klickat,
A1,att,synas,,syns,syntes,synts,
A1,att,fastställa,,fastställer,fastställde,fastställt,
A1,att,tacka,,tackar,tackade,tackat,
A1,att,hota,,hotar,hotade,hotat,
A1,att,existera,,existerar,existerade,existerat,
A2,att,rikta,,riktar,riktade,riktat,
A2,att,locka,,lockar,lockade,lockat,
A2,att,redovisa,,redovisar,redovisade,redovisat,
A2,att,para,,parar,parade,parat,
A2,att,störa,,stör,störde,stört,
A2,att,rapportera,,rapporterar,rapporterade,rapporterat,
A2,att,begära,,begär,begärde,begärt,
A2,att,producera,,producerar,producerade,producerat,
A2,att,begå,,begår,begick,begått,
A2,att,förstöra,,förstör,förstörde,förstört,
A2,att,grunda,,grundar,grundade,grundat,
A2,att,skada,,skadar,skadade,skadat,
A2,att,uppfylla,,uppfyller,uppfyllde,uppfyllt,
A2,att,akta,,aktar,aktade,aktat,
A2,att,syfta,,syftar,syftade,syftat,
A2,att,orsaka,,orsakar,orsakade,orsakat,
A2,att,plocka,,plockar,plockade,plockat,
A2,att,sjunga,,sjunger,sjöng,sjungit,
A2,att,vakna,,vaknar,vaknade,vaknat,
A2,att,träna,,tränar,tränade,tränat,
A2,att,vidta,,vidtar,vidtog,vidtagit,
A2,att,mana,,manar,manade,manat,
A2,att,uppmana,,uppmanar,uppmanade,uppmanat,
A2,att,lida,,lider,led,lidit,
A2,att,avslöja,,avslöjar,avslöjade,avslöjat,
A2,att,återvända,,återvänder,återvände,återvänt,
A2,att,placera,,placerar,placerade,placerat,
A2,att,ana,,anar,anade,anat,
A2,att,pröva,,prövar,prövade,prövat,
A2,att,rekommendera,,rekommenderar,rekommenderade,rekommenderat,
A2,att,återkomma,,återkommer,återkom,återkommit,
A2,att,bevisa,,bevisar,bevisade,bevisat,
A2,att,förbjuda,,förbjuder,förbjöd,förbjudit,
A2,att,uttala,,uttalar,uttalade,uttalat,
A2,att,fira,,firar,firade,firat,
A2,att,påminna,,påminner,påminde,påmint,
A2,att,beröra,,berör,berörde,berört,
A2,att,anpassa,,anpassar,anpassade,anpassat,
A2,att,begränsa,,begränsar,begränsade,begränsat,
A2,att,fly,,flyr,flydde,flytt,
A2,att,ladda,,laddar,laddade,laddat,
A2,att,passera,,passerar,passerade,passerat,
A2,att,främja,,främjar,främjade,främjat,
A2,att,undersöka,,undersöker,undersökte,undersökt,
A2,att,testa,,testar,testade,testat,
A2,att,upphöra,,upphör,upphörde,upphört,
A2,att,reagera,,reagerar,reagerade,reagerat,
A2,att,hänvisa,,hänvisar,hänvisade,hänvisat,
A2,att,förhindra,,förhindrar,förhindrade,förhindrat,
A2,att,godkänna,,godkänner,godkände,godkänt,
A2,att,beräkna,,beräknar,beräknade,beräknat,
A2,att,fixa,,fixar,fixade,fixat,
A2,att,inträffa,,inträffar,inträffade,inträffat,
A2,att,överleva,,överlever,överlevde,överlevt,
A2,att,låna,,lånar,lånade,lånat,
A2,att,framhålla,,framhåller,framhöll,framhållit,
A2,att,laga,,lagar,lagade,lagat,
A2,att,likna,,liknar,liknade,liknat,
A2,att,lita,,litar,litade,litat,
A2,att,granska,,granskar,granskade,granskat,
A2,att,bekräfta,,bekräftar,bekräftade,bekräftat,
A2,att,förbli,,förblir,förblev,förblivit,
A2,att,flyga,,flyger,flög,flugit,
A2,att,gifta,,gifter,gifte,gift,
A2,att,träda,,träder,trädde,trätt,
A2,att,sjunka,,sjunker,sjönk,sjunkit,
A2,att,representera,,representerar,representerade,representerat,
A2,att,motsvara,,motsvarar,motsvarade,motsvarat,
A2,att,uppskatta,,uppskattar,uppskattade,uppskattat,
A2,att,blanda,,blandar,blandade,blandat,
A2,att,åstadkomma,,åstadkommer,åstadkom,åstadkommit,
A2,att,framstå,,framstår,framstod,framstått,
A2,att,leverera,,levererar,levererade,levererat,
A2,att,gripa,,griper,grep,gripit,
A2,att,njuta,,njuter,njöt,njutit,
A2,att,posta,,postar,postade,postat,
A2,att,runda,,rundar,rundade,rundat,
A2,att,bereda,,bereder,beredde,berett,
A2,att,uppmärksamma,,uppmärksammar,uppmärksammade,uppmärksammat,
A2,att,skratta,,skrattar,skrattade,skrattat,
A2,att,underlätta,,underlättar,underlättade,underlättat,
A2,att,föreligga,,föreligger,förelåg,förelegat,
A2,att,garantera,,garanterar,garanterade,garanterat,
A2,att,utse,,utser,utsåg,utsett,
A2,att,framföra,,framför,framförde,framfört,
A2,att,utöva,,utövar,utövade,utövat,
A2,att,fokusera,,fokuserar,fokuserade,fokuserat,
A2,att,reda,,reder,redde,rett,
A2,att,ordna,,ordnar,ordnade,ordnat,
A2,att,närma sig,,närmar sig,närmade sig,närmat sig,
A2,att,skrika,,skriker,skrek,skrikit,
A2,att,avskaffa,,avskaffar,avskaffade,avskaffat,
A2,att,uppge,,uppger,uppgav,uppgett,
A2,att,definiera,,definierar,definierade,definierat,
A2,att,beställa,,beställer,beställde,beställt,
A2,att,bevara,,bevarar,bevarade,bevarat,
A2,att,väga,,väger,vägde,vägt,
A2,att,misslyckas,,misslyckas,misslyckades,misslyckats,
A2,att,finansiera,,finansierar,finansierade,finansierat,
A2,att,klaga,,klagar,klagade,klagat,
A2,att,skatta,,skattar,skattade,skattat,
A2,att,upprätta,,upprättar,upprättade,upprättat,
A2,att,gynna,,gynnar,gynnade,gynnat,
A2,att,leka,,leker,lekte,lekt,
A2,att,upprepa,,upprepar,upprepade,upprepat,
A2,att,förutsätta,,förutsätter,förutsatte,förutsatt,
A2,att,lätta,,lättar,lättade,lättat,
A2,att,ropa,,ropar,ropade,ropat,
A2,att,bekämpa,,bekämpar,bekämpade,bekämpat,
A2,att,förstärka,,förstärker,förstärkte,förstärkt,
A2,att,betona,,betonar,betonade,betonat,
A2,att,förbereda,,förbereder,förberedde,förberett,
A2,att,koppla,,kopplar,kopplade,kopplat,
A2,att,forma,,formar,formade,format,
A2,att,samarbeta,,samarbetar,samarbetade,samarbetat,
A2,att,slänga,,slängar,slängade,slängat,
A2,att,neka,,nekar,nekade,nekat,
A2,att,tona,,tonar,tonade,tonat,
A2,att,återstå,,återstår,återstod,återstått,
A2,att,vila,,vilar,vilade,vilat,
A2,att,framställa,,framställer,framställde,framställt,
A2,att,misstänka,,misstänker,misstänkte,misstänkt,
A2,att,logga,,loggar,loggade,loggat,
A2,att,erhålla,,erhåller,erhöll,erhållit,
A2,att,sticka,,sticker,stack,stuckit,
A2,att,mäta,,mäter,mätte,mätt,
A2,att,medverka,,medverkar,medverkade,medverkat,
A2,att,fånga,,fångar,fångade,fångat,
A2,att,blogga,,bloggar,bloggade,bloggat,
A2,att,prova,,provar,provade,provat,
A2,att,prägla,,präglar,präglade,präglat,
A2,att,måla,,målar,målade,målat,
A2,att,identifiera,,identifierar,identifierade,identifierat,
A2,att,resultera,,resulterar,resulterade,resulterat,
A2,att,jaga,,jagar,jagade,jagat,
A2,att,stöta,,stöter,stötte,stött,
A2,att,förneka,,förnekar,förnekade,förnekat,
A2,att,upprätthålla,,upprätthåller,upprätthöll,upprätthållit,
A2,att,analysera,,analyserar,analyserade,analyserat,
A2,att,uppmuntra,,uppmuntrar,uppmuntrade,uppmuntrat,
A2,att,lyda,,lyder,lydde/löd,lytt/lydit,C5/C6a: betydelsebetingat i preteritum (lydde=lyda order; löd=lyda ordalydelse) och i supinum (lytt=lyda order; lydit=lyda ordalydelse). Primärform lydde/lytt (A2).
A2,att,kontakta,,kontaktar,kontaktade,kontaktat,
A2,att,medge,,medger,medgav,medgett,
A2,att,gränsa,,gränsar,gränsade,gränsat,
A2,att,ansluta,,ansluter,anslöt,anslutit,
A2,att,föredra,,föredrar,föredrog,föredragit,
A2,att,välkomna,,välkomnar,välkomnade,välkomnat,
A2,att,tillverka,,tillverkar,tillverkade,tillverkat,
A2,att,anklaga,,anklagar,anklagade,anklagat,
A2,att,förtjäna,,förtjänar,förtjänade,förtjänat,
A2,att,avstå,,avstår,avstod,avstått,
A2,att,variera,,varierar,varierade,varierat,
A2,att,dominera,,dominerar,dominerade,dominerat,
A2,att,utreda,,utreder,utredde,utrett,
A2,att,förvandla,,förvandlar,förvandlade,förvandlat,
A2,att,påbörja,,påbörjar,påbörjade,påbörjat,
A2,att,organisera,,organiserar,organiserade,organiserat,
A2,att,teckna,,tecknar,tecknade,tecknat,
A2,att,säkra,,säkrar,säkrade,säkrat,
A2,att,hälsa,,hälsar,hälsade,hälsat,
A2,att,hata,,hatar,hatade,hatat,
A2,att,gissa,,gissar,gissade,gissat,
A2,att,beakta,,beaktar,beaktade,beaktat,
A2,att,reglera,,reglerar,reglerade,reglerat,
A2,att,etablera,,etablerar,etablerade,etablerat,
A2,att,respektera,,respekterar,respekterade,respekterat,
A2,att,inta,,intar,intog,intagit,
A2,att,rulla,,rullar,rullade,rullat,
A2,att,motivera,,motiverar,motiverade,motiverat,
A2,att,snacka,,snackar,snackade,snackat,
A2,att,förmedla,,förmedlar,förmedlade,förmedlat,
A2,att,tillhandahålla,,tillhandahåller,tillhandahöll,tillhandahållit,
A2,att,informera,,informerar,informerade,informerat,
A2,att,utforma,,utformar,utformade,utformat,
A2,att,mörda,,mördar,mördade,mördat,
A2,att,sträcka,,sträcker,sträckte,sträckt,
A2,att,säkerställa,,säkerställer,säkerställde,säkerställt,
A2,att,lysa,,lyser,lyste,lyst,
A2,att,syna,,synar,synade,synat,
A2,att,servera,,serverar,serverade,serverat,
A2,att,inrätta,,inrättar,inrättade,inrättat,
A2,att,strida,,strider,stred,stridit,
A2,att,skylla,,skyller,skyllde,skyllt,
A2,att,engagera,,engagerar,engagerade,engagerat,
A2,att,förefalla,,förefaller,föreföll,förefallit,
A2,att,dölja,,döljer,dolde,dolt,
A2,att,sträva,,strävar,strävade,strävat,
A2,att,vandra,,vandrar,vandrade,vandrat,
A2,att,registrera,,registrerar,registrerade,registrerat,
A2,att,argumentera,,argumenterar,argumenterade,argumenterat,
A2,att,uppgå,,uppgår,uppgick,uppgått,
A2,att,gråta,,gråter,grät,gråtit,
A2,att,förespråka,,förespråkar,förespråkade,förespråkat,
A2,att,bevilja,,beviljar,beviljade,beviljat,
A2,att,förmå,,förmår,förmådde,förmått,
A2,att,formulera,,formulerar,formulerade,formulerat,
A2,att,bränna,,bränner,brände,bränt,
A2,att,föreställa,,föreställer,föreställde,föreställt,
A2,att,landa,,landar,landade,landat,
A2,att,låsa,,låser,låste,låst,
A2,att,varna,,varnar,varnade,varnat,
A2,att,anställa,,anställer,anställde,anställt,
A2,att,syssla,,sysslar,sysslade,sysslat,
A2,att,drömma,,drömmer,drömde,drömt,
A2,att,överväga,,övervägar,övervägade,övervägat,
A2,att,lämpa sig,,lämpar sig,lämpade sig,lämpat sig,
A2,att,lura,,lurar,lurade,lurat,
A2,att,besvara,,besvarar,besvarade,besvarat,
A2,att,ljuga,,ljuger,ljög,ljugit,
A2,att,översätta,,översätter,översatte,översatt,
A2,att,inkludera,,inkluderar,inkluderade,inkluderat,
A2,att,förena,,förenar,förenade,förenat,
A2,att,prioritera,,prioriterar,prioriterade,prioriterat,
A2,att,tillägga,,tillägger,tillade,tillagt,
A2,att,blåsa,,blåser,blåste,blåst,
A2,att,överlämna,,överlämnar,överlämnade,överlämnat,
A2,att,fastna,,fastnar,fastnade,fastnat,
A2,att,motverka,,motverkar,motverkade,motverkat,
A2,att,komplettera,,kompletterar,kompletterade,kompletterat,
A2,att,bota,,botar,botade,botat,
A2,att,bege sig,,beger sig,begav sig,begivit sig,
A2,att,lansera,,lanserar,lanserade,lanserat,
A2,att,basera,,baserar,baserade,baserat,
A2,att,skära,,skär,skar,skurit,
A2,att,gömma,,gömmer,gömde,gömt,
A2,att,uppträda,,uppträder,uppträdde,uppträtt,
A2,att,övergå,,övergår,övergick,övergått,
A2,att,investera,,investerar,investerade,investerat,
A2,att,uppkomma,,uppkommer,uppkom,uppkommit,
A2,att,somna,,somnar,somnade,somnat,
A2,att,utesluta,,utesluter,uteslöt,uteslutit,
A2,att,anlända,,anländer,anlände,anlänt,
A2,att,röja,,röjer,röjde,röjt,
A2,att,rena,,renar,renade,renat,
A2,att,stjäla,,stjäl,stal,stulit,
A2,att,protestera,,protesterar,protesterade,protesterat,
A2,att,tillkomma,,tillkommer,tillkom,tillkommit,
A2,att,bemöta,,bemöter,bemötte,bemött,
A2,att,tränga,,trängar,trängade,trängat,
A2,att,överföra,,överför,överförde,överfört,
A2,att,brinna,,brinner,brann,brunnit,
A2,att,rinna,,rinner,rann,runnit,
A2,att,rymma,,rymmer,rymde,rymt,
A2,att,sammanfatta,,sammanfattar,sammanfattade,sammanfattat,
A2,att,dröja,,dröjer,dröjde,dröjt,
A2,att,avbryta,,avbryter,avbröt,avbrutit,
A2,att,gräva,,gräver,grävde,grävt,
A2,att,stryka,,stryker,strök,strukit,
A2,att,roa,,roar,roade,roat,
A2,att,understryka,,understryker,underströk,understrukit,
A2,att,möjliggöra,,möjliggör,möjliggjorde,möjliggjort,
A2,att,markera,,markerar,markerade,markerat,
A2,att,skaka,,skakar,skakade,skakat,
A2,att,värna,,värnar,värnade,värnat,
A2,att,skämma,,skämmer,skämde,skämt,
A2,att,vittna,,vittnar,vittnade,vittnat,
A2,att,spendera,,spenderar,spenderade,spenderat,
